Fecha y hora;Fecha;Hora;Hora Entera;Departamento;Localidad;Jurisdiccion ;Tipo de Siniestro;Vehiculo;Rol;Edad;Sexo;Fallecido a los Dias;Otro vehiculo;Lugar del Siniestro;X;Y
01/01/2013 23:15;01/01/2023;23:15:00;23:00;CANELONES;N/C;NACIONAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;34;F;0;N/C;RUTA 101 km 24;589815,34;6143862,76
01/01/2013 23:35;01/01/2013;23:35:00;23:00;SALTO;SALTO;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;52;F;0;MOTO;MAGALLANES pr¢x. Barrio Chinchurreta;411579,77;6526872,77
03/01/2013 23:35;03/01/2013;23:35:00;23:00;PAYSANDU;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;CONDUCTOR;34;M;8;CAMION;RUTA 3 km. 358 ;412321,54;6407067,58
04/01/2013 7:10;04/01/2013;7:10:00;7:00;COLONIA;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;49;F;1;N/C;RUTA 21 esq. Dr Irastorza;379424,37;6240356,26
04/01/2013 11:00;04/01/2013;11:00:00;11:00;CANELONES;PROGRESO;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;91;M;0;N/C;CESAR MAYO GUTIERREZ senda CAMINO PELUFFO;570675,1;6164479,53
05/01/2013 0:20;05/01/2013;0:20:00;0:00;RIVERA;N/C;DEPARTAMENTAL;DESPISTE;CAMIONETA;CONDUCTOR;56;M;0;N/C;CAMINO VECINAL PASO DEL CERRO;610696,85;6545153,44
06/01/2013 14:10;06/01/2013;14:10:00;14:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;63;M;1;MOTO;AVENIDA LEZICA esq. GUANAHANY;568790,16;6149287,47
06/01/2013 15:30;06/01/2013;15:30:00;15:00;RIVERA;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;45;M;0;MOTO;RUTA 27 km 113;717522,58;6483538,47
06/01/2013 18:21;06/01/2013;18:21:00;18:00;FLORIDA;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;34;F;1;N/C;RUTA 7 km. 145;636641,74;6253050,99
06/01/2013 20:50;06/01/2013;20:50:00;20:00;MALDONADO;AIGUA;DEPARTAMENTAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;20;M;1;N/C;CONT. AGUSTONI ROSSI;706410,06;6213348,04
08/01/2013 19:26;08/01/2013;19:26:00;19:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;25;M;0;AUTO;AVENIDA JOSE BELLONI esq. MONTE CARLO;578915,05;6144152,48
08/01/2013 20:10;08/01/2013;20:10:00;20:00;MALDONADO;LA BARRA;DEPARTAMENTAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;19;M;0;N/C;CERRO EGUZQUIZA, LA BARRA;695307,05;6138229,55
09/01/2013 5:45;09/01/2013;5:45:00;5:00;ROCHA;N/C;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;50;M;0;N/C;RUTA 14 km. 490;819864,78;6241309,42
09/01/2013 15:05;09/01/2013;15:05:00;15:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;44;M;0;AUTO;CAMINO ARIEL esq. BELL;571973,17;6144875,63
09/01/2013 22:30;09/01/2013;22:30:00;22:00;CERRO LARGO;MELO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;20;M;1;CAMIONETA;JOSE ENRIQUE RODO esq. TREINTA Y TRES;766655,27;6415354,85
09/01/2013 22:55;09/01/2013;22:55:00;22:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;40;M;0;AUTO;AVENIDA DON PEDRO DE MENDOZA esq. CAMINO CARLOS LINNEO;576278,1;6150200,38
10/01/2013 2:10;10/01/2013;2:10:00;2:00;CANELONES;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;54;M;4;N/C;RUTA 5 km 52;566261,13;6185777,45
